InChIKey,odorant,Or10a,Or19a,Or22a,Or23a,Or2a,Or33b,Or35a,Or43a,Or43b,Or47a,Or47b,Or49b,Or59b,Or65a,Or67a,Or67c,Or7a,Or82a,Or85a,Or85b,Or85f,Or88a,Or98a,Or9a
JARKCYVAAOWBJS-UHFFFAOYSA-N,hexanal,42.0,0.0,143.0,22.0,27.0,15.0,202.0,17.0,46.0,47.0,26.0,4.0,19.0,31.0,40.0,21.0,194.0,24.0,34.0,237.0,50.0,17.0,41.0,37.0
MBDOYVRWFFCFHM-SNAWJCMRSA-N,E2-hexenal,6.0,87.0,53.0,54.0,25.0,17.0,244.0,62.0,86.0,38.0,65.0,14.0,5.0,16.0,128.0,53.0,238.0,10.0,25.0,158.0,42.0,18.0,40.0,41.0
HYBBIBNJHNGZAN-UHFFFAOYSA-N,furfural,48.0,7.0,33.0,27.0,19.0,53.0,193.0,4.0,36.0,7.0,28.0,4.0,52.0,17.0,193.0,42.0,193.0,55.0,12.0,74.0,66.0,14.0,45.0,96.0
HGINCPLSRVDWNT-UHFFFAOYSA-N,2-propenal,7.0,17.0,36.0,3.0,22.0,31.0,8.0,14.0,13.0,9.0,31.0,5.0,21.0,20.0,32.0,11.0,48.0,11.0,33.0,49.0,9.0,30.0,34.0,6.0
CSCPPACGZOOCGX-UHFFFAOYSA-N,acetone,14.0,4.0,42.0,2.0,9.0,15.0,25.0,5.0,13.0,4.0,41.0,5.0,132.0,11.0,38.0,1.0,7.0,12.0,9.0,41.0,25.0,17.0,11.0,32.0
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,2-butanone,21.0,13.0,88.0,12.0,16.0,32.0,30.0,13.0,27.0,17.0,32.0,11.0,146.0,16.0,78.0,27.0,26.0,33.0,15.0,52.0,48.0,12.0,16.0,97.0
XNLICIUVMPYHGG-UHFFFAOYSA-N,2-pentanone,33.0,28.0,152.0,22.0,38.0,35.0,129.0,33.0,77.0,75.0,16.0,11.0,62.0,30.0,81.0,66.0,19.0,48.0,6.0,128.0,59.0,7.0,23.0,133.0
CATSNJVOTSVZJV-UHFFFAOYSA-N,2-heptanone,31.0,160.0,115.0,34.0,47.0,25.0,136.0,63.0,73.0,210.0,37.0,29.0,27.0,53.0,181.0,42.0,15.0,48.0,47.0,203.0,47.0,45.0,201.0,109.0
UHEPJGULSIKKTP-UHFFFAOYSA-N,6-methyl-5-hepten-2-one,22.0,98.0,89.0,37.0,54.0,14.0,5.0,28.0,48.0,41.0,53.0,3.0,2.0,67.0,245.0,22.0,-7.0,77.0,7.0,270.0,41.0,11.0,244.0,61.0
QSJXEFYPDANLFS-UHFFFAOYSA-N,"2,3-butanedione",36.0,64.0,52.0,24.0,11.0,36.0,30.0,32.0,71.0,26.0,54.0,14.0,99.0,26.0,95.0,48.0,30.0,36.0,54.0,84.0,21.0,37.0,46.0,63.0
WRMNZCZEMHIOCP-UHFFFAOYSA-N,phenethyl alcohol,-2.0,43.0,50.0,7.0,10.0,54.0,137.0,49.0,8.0,10.0,27.0,53.0,4.0,12.0,247.0,73.0,20.0,41.0,17.0,33.0,15.0,30.0,4.0,20.0
WVDDGKGOMKODPV-UHFFFAOYSA-N,benzyl alcohol,9.0,20.0,44.0,4.0,4.0,59.0,61.0,73.0,2.0,9.0,26.0,119.0,16.0,15.0,127.0,32.0,22.0,39.0,10.0,32.0,32.0,27.0,13.0,33.0
OSWPMRLSEDHDFF-UHFFFAOYSA-N,methyl salicylate,272.0,30.0,2.0,8.0,13.0,18.0,19.0,41.0,14.0,-5.0,53.0,56.0,-2.0,5.0,46.0,4.0,11.0,11.0,16.0,5.0,12.0,19.0,20.0,16.0
QPJVMBTYPHYUOC-UHFFFAOYSA-N,methyl benzoate,279.0,17.0,47.0,3.0,9.0,13.0,3.0,18.0,34.0,39.0,43.0,27.0,0.0,16.0,219.0,16.0,-10.0,47.0,18.0,42.0,53.0,17.0,238.0,46.0
MTZQAGJQAFMTAQ-UHFFFAOYSA-N,ethyl benzoate,282.0,23.0,53.0,3.0,9.0,22.0,1.0,-5.0,8.0,28.0,36.0,2.0,-3.0,12.0,209.0,2.0,-3.0,12.0,0.0,27.0,28.0,21.0,285.0,32.0
MDHYEMXUFSJLGV-UHFFFAOYSA-N,phenethyl acetate,2.0,36.0,44.0,5.0,19.0,25.0,4.0,9.0,4.0,25.0,32.0,15.0,36.0,35.0,196.0,7.0,4.0,35.0,6.0,41.0,14.0,22.0,36.0,21.0
HUMNYLRZRPPJDN-UHFFFAOYSA-N,benzaldehyde,137.0,14.0,36.0,4.0,13.0,20.0,100.0,57.0,14.0,23.0,29.0,109.0,8.0,8.0,211.0,12.0,217.0,6.0,21.0,50.0,56.0,23.0,42.0,60.0
DTUQWGWMVIHBKE-UHFFFAOYSA-N,phenylacetaldehyde,78.0,-1.0,48.0,10.0,18.0,32.0,0.0,15.0,10.0,28.0,30.0,87.0,9.0,21.0,164.0,23.0,60.0,25.0,24.0,52.0,27.0,26.0,39.0,17.0
KWOLFJPFCHCOCG-UHFFFAOYSA-N,acetophenone,268.0,34.0,36.0,3.0,5.0,9.0,27.0,58.0,12.0,39.0,41.0,87.0,7.0,30.0,195.0,41.0,27.0,0.0,-11.0,35.0,91.0,14.0,41.0,65.0
